Key,Value
string,string
本地化键（唯一标识）,本地化文本（对应语言）
char_warrior,战士
class_warrior,近战
char_mage,法师
class_mage,远程
char_priest,牧师
class_priest,治疗
enemy_slime,史莱姆
enemy_abyss_guardian,深渊守卫
quest_1_name,讨伐史莱姆
quest_1_desc,城北森林出现了大量史莱姆，请前往清理。
quest_2_name,深渊探索
quest_2_desc,废弃矿洞深处传来不明声响，调查其来源。
action_attack,攻击
action_defend,防御
action_skill,技能
item_potion,生命药水
item_scroll,魔法卷轴
difficulty_easy,简单
difficulty_normal,普通
difficulty_hard,困难
notice_title,公会公告
notice_line_welcome,欢迎来到冒险者公会！
notice_line_weekly,本周史莱姆讨伐任务已开放，组队出征赢取奖励。
notice_line_settings,设置面板可切换语言并调节音量。
ui_recruit,招募
ui_upgrade,升级
ui_accept,接取任务
ui_expedition,出征
ui_settings,设置
UI_GuildTitle,冒险者公会
UI_RosterTitle,英雄列表
UI_QuestTitle,任务板
UI_NoticeTitle,公告
UI_Loading,加载中...
UI_NoticeFail,公告加载失败
UI_ExpeditionTitle,远征
UI_Depart,出发远征
UI_CurrentState,当前状态
UI_Standby,待命
UI_NoOngoing,无进行中
UI_SelectedHero,选中英雄
UI_TargetQuest,目标任务
UI_NoneSelected,未选择
UI_Difficulty,难度
UI_Reward,奖励
UI_Gold,金币
UI_Diamond,钻石
UI_Accepted,已接取 / 进行中
UI_Accept,接取
UI_Select,选择
UI_Selected,已选择
UI_Upgrade,升级
UI_BattleTitle,远征战斗
UI_Round,回合
UI_PlayerTurn,玩家回合
UI_EnemyTurn,敌方回合
UI_HP,生命
UI_ATK,攻击
UI_DEF,防御
UI_Enemy,敌人
UI_Victory,远征胜利
UI_Defeat,远征失败
UI_ReturnHall,返回大厅
UI_Exp,经验
UI_SkillCooling,技能冷却中
UI_LogDefend,英雄进入防御姿态
UI_LogPlayerHit,英雄造成 {0} 点伤害
UI_LogEnemyHit,敌人造成 {0} 点伤害
UI_Language,中文
